Controller Name:,"Cathode11109820344"
Trend Name:,"ic_conveyor_position_1"
Trend Tags:,"8"
Sample Period:,"10" ms
Description:,""
Start Trigger:,No Trigger

Stop Trigger:,No Trigger

Start Time:,2026-08-10,12:37:50;387
Stop Time:,2026-08-10,12:38:42;607
Pre-Samples:,"0"
Post-Samples:,"0"
Header:,Date,Time,"Program:Sheet_Conveyor_2\ic_conveyor_position","Program:Sheet_Conveyor_2\var_volts_velocity","Program:Sheet_Conveyor_2\oa_conveyor","Program:Sheet_Conveyor_2\i_conveyor_index","Program:Sheet_Conveyor_2\State_Accel_001.X","Program:Sheet_Conveyor_2\State_Full_Speed_001.X","Program:Sheet_Conveyor_2\State_Decel_001.X","Program:Sheet_Conveyor_2\State_Creep_In_001.X"
Data,2026-08-10,12:37:51;087,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;097,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;107,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;117,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;127,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;137,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;147,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;157,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;167,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;177,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;187,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;197,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;207,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;217,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;227,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;237,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;247,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;257,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;267,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;277,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;287,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;297,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;307,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;317,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;327,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;337,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;347,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;357,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;367,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;377,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;387,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;397,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;407,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;417,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;427,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;437,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;447,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;457,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;467,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;477,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;487,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;497,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;507,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;517,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;527,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;537,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;547,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;557,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;567,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;577,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;587,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;597,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;607,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:51;617,"5013","0.000000","0","0","0","0","0","0"
